epoch,train_l1,epoch_seconds,val_ssim,val_psnr,val_l1,is_best
1,0.138272,101.8,0.674214,17.1228,0.117166,True
2,0.116135,102.8,,,,False
3,0.113263,100.2,,,,False
4,0.109332,105.0,,,,False
5,0.109593,102.4,0.761835,18.2255,0.101255,True
6,0.106188,101.5,,,,False
7,0.103668,96.3,,,,False
8,0.104998,97.7,,,,False
9,0.103823,97.0,,,,False
10,0.105103,101.5,0.780677,18.4753,0.098845,True
11,0.105199,102.0,,,,False
12,0.106508,99.7,,,,False
13,0.10525,98.1,,,,False
14,0.103192,104.9,,,,False
15,0.104264,101.4,0.792071,18.7776,0.096621,True
16,0.105502,100.2,,,,False
17,0.102343,104.5,,,,False
18,0.102887,102.1,,,,False
19,0.102829,98.8,,,,False
20,0.100615,102.8,0.798122,18.8726,0.095232,True
21,0.103773,95.1,,,,False
22,0.10239,96.4,,,,False
23,0.102804,94.9,,,,False
24,0.100264,100.8,,,,False
25,0.100508,97.4,0.798894,18.8133,0.094573,True
26,0.09872,98.6,,,,False
27,0.099192,99.8,,,,False
28,0.099692,103.0,,,,False
29,0.100762,93.3,,,,False
30,0.097464,95.6,0.799812,18.9045,0.09435,True
31,0.100948,96.0,,,,False
32,0.102212,100.7,,,,False
33,0.099663,99.0,,,,False
34,0.101963,99.4,,,,False
35,0.0998,102.3,0.797471,18.8122,0.095345,False
36,0.100133,100.2,,,,False
37,0.100561,98.2,,,,False
38,0.103805,98.9,,,,False
39,0.099848,103.6,,,,False
40,0.102529,101.5,0.799985,18.7773,0.09496,True
41,0.099495,102.5,,,,False
42,0.098775,102.2,,,,False
43,0.100114,98.7,,,,False
44,0.101329,97.0,,,,False
45,0.100607,95.5,0.804516,19.0189,0.092801,True
46,0.099875,97.7,,,,False
47,0.099242,98.4,,,,False
48,0.099423,103.0,,,,False
49,0.098664,102.5,,,,False
50,0.099208,103.5,0.805383,18.9523,0.094174,True
51,0.098569,101.9,,,,False
52,0.102013,102.6,,,,False
53,0.099103,101.0,,,,False
54,0.102341,102.4,,,,False
55,0.099729,98.9,0.809535,19.1642,0.091847,True
56,0.099763,97.2,,,,False
57,0.097063,97.6,,,,False
58,0.099443,99.8,,,,False
59,0.098359,92.0,,,,False
60,0.098907,96.5,0.806562,18.8822,0.094341,False
61,0.098267,99.4,,,,False
62,0.096662,97.3,,,,False
63,0.095649,99.8,,,,False
64,0.097644,99.5,,,,False
65,0.099278,101.0,0.79968,18.8085,0.095362,False
66,0.097819,96.9,,,,False
67,0.10093,96.2,,,,False
68,0.098006,97.6,,,,False
69,0.099097,99.1,,,,False
70,0.095572,96.8,0.808402,19.0737,0.093154,False
71,0.099108,99.9,,,,False
72,0.098882,95.9,,,,False
73,0.0993,98.4,,,,False
74,0.099185,100.3,,,,False
75,0.099631,101.0,0.809354,19.0501,0.093429,False
