epoch,train_l1,epoch_seconds,val_ssim,val_psnr,val_l1,is_best
1,0.138272,2077.2,0.674214,17.1228,0.117166,True
2,0.116135,481.7,,,,False
3,0.113263,294.3,,,,False
4,0.109332,127.9,,,,False
5,0.109593,132.5,0.761835,18.2255,0.101255,True
6,0.106188,136.7,,,,False
7,0.103668,137.6,,,,False
8,0.104998,133.8,,,,False
9,0.103823,133.0,,,,False
10,0.105103,134.3,0.780677,18.4753,0.098845,True
11,0.105199,135.1,,,,False
12,0.106508,134.6,,,,False
13,0.10525,133.8,,,,False
14,0.103192,135.1,,,,False
15,0.104264,140.8,0.792071,18.7776,0.096621,True
16,0.105502,132.1,,,,False
17,0.102343,131.3,,,,False
18,0.102887,136.4,,,,False
19,0.102829,146.3,,,,False
20,0.100615,132.9,0.798122,18.8726,0.095232,True
21,0.103773,138.3,,,,False
22,0.10239,133.8,,,,False
23,0.102804,133.0,,,,False
24,0.100264,133.2,,,,False
25,0.100508,149.1,0.798894,18.8133,0.094573,True
26,0.09872,141.6,,,,False
27,0.099192,140.6,,,,False
28,0.099692,141.8,,,,False
29,0.100762,139.5,,,,False
30,0.097464,138.1,0.799812,18.9045,0.09435,True
31,0.100948,132.6,,,,False
32,0.102212,135.7,,,,False
33,0.099663,134.5,,,,False
34,0.101963,135.5,,,,False
35,0.0998,134.4,0.797471,18.8122,0.095345,False
36,0.100133,133.8,,,,False
37,0.100561,133.9,,,,False
38,0.103805,137.3,,,,False
39,0.099848,134.6,,,,False
40,0.102529,137.2,0.799985,18.7773,0.09496,True
41,0.099495,138.0,,,,False
42,0.098775,133.2,,,,False
43,0.100114,139.2,,,,False
44,0.101329,138.8,,,,False
45,0.100607,137.5,0.804516,19.0189,0.092801,True
46,0.099875,134.2,,,,False
47,0.099242,149.1,,,,False
48,0.099423,132.0,,,,False
49,0.098664,133.5,,,,False
50,0.099208,137.2,0.805383,18.9523,0.094174,True
51,0.098569,133.8,,,,False
52,0.102013,140.4,,,,False
53,0.099103,136.3,,,,False
54,0.102341,143.8,,,,False
55,0.099729,137.9,0.809535,19.1642,0.091847,True
56,0.099763,136.9,,,,False
57,0.097063,133.5,,,,False
58,0.099443,140.3,,,,False
59,0.098359,134.3,,,,False
60,0.098907,133.9,0.806562,18.8822,0.094341,False
61,0.098267,134.7,,,,False
62,0.096662,142.9,,,,False
63,0.095649,140.8,,,,False
64,0.097644,139.4,,,,False
65,0.099278,132.8,0.79968,18.8085,0.095362,False
66,0.097819,137.9,,,,False
67,0.10093,136.5,,,,False
68,0.098006,136.1,,,,False
69,0.099097,134.6,,,,False
70,0.095572,138.6,0.808402,19.0737,0.093154,False
71,0.099108,133.5,,,,False
72,0.098882,141.6,,,,False
73,0.0993,134.4,,,,False
74,0.099185,131.9,,,,False
75,0.099631,135.7,0.809354,19.0501,0.093429,False
