,mean,std,variance,entropy,dynamic_range,rms_contrast,mean_red,mean_green,mean_blue,colorfulness,red_ratio,mean_saturation,mean_value,contrast,correlation,energy,homogeneity,ASM,dissimilarity,glcm_entropy,glcm_variance,edge_density,gradient,laplacian_variance,keypoint_density
mean,1.0,-0.05302040309540804,-0.021842619075376796,-0.017897343414858276,0.08163186718138479,-0.05302040309540804,0.715353510988124,0.6667629205393775,0.6632805819668061,-0.28537254591509065,0.42498579904831696,-0.3741475175449409,0.15380660343329777,-0.0810333285563035,0.14240188935748396,0.017556038049114993,0.013059378249857643,0.024974786058731817,-0.07313916222438334,-0.04108313151162809,0.024974786058731366,-0.08600452926105022,-0.07678461386533574,-0.060901173749959715,-0.10353464754149559
std,-0.05302040309540804,1.0,0.9867545937022972,0.9152900177652942,0.8082123352137565,1.0,-0.03902299372236475,-0.03429979489161141,-0.03370044942113847,0.14914016852186665,-0.027737800745156,0.18859503605601693,0.12668325110270018,0.3906783101132575,-0.06400567468766878,-0.6520900990141479,-0.5840447987936063,-0.579359998111319,0.51489956020233,0.7587070340645099,-0.5793599981113188,0.5804805147978467,0.6155695328562464,0.28206944851220295,0.5287282890491338
variance,-0.021842619075376796,0.9867545937022972,1.0,0.8625167154847152,0.7702418204729196,0.9867545937022971,-0.004966935168053669,-0.025829956140681908,-0.02629257755309426,0.12836261020308745,0.0011169136322810472,0.16589741877084488,0.11882891493860692,0.38693597435026705,-0.050907478377861574,-0.5909393590756608,-0.5548885594441757,-0.4961904452138494,0.5054114800181617,0.7200207266219986,-0.4961904452138501,0.5649984185621351,0.6034970653814704,0.2785609102863525,0.5099736554825578
entropy,-0.017897343414858276,0.9152900177652942,0.8625167154847152,1.0,0.8471208482826,0.9152900177652944,0.029508437880512616,-0.055636592555111455,-0.06363367256293266,0.09359394284048271,0.046031643360509154,0.1079869955617991,0.08145641412164686,0.37953466924641843,-0.089517844179699,-0.841232123827637,-0.6834444666641644,-0.7980250215143976,0.5246638733304709,0.8469294232393115,-0.7980250215143974,0.5967948157150519,0.6258190425235469,0.27023469554123475,0.5576880299719069
dynamic_range,0.08163186718138479,0.8082123352137565,0.7702418204729196,0.8471208482826,1.0,0.8082123352137565,0.09233839573052482,0.018275266119964426,0.018182493222148988,0.14429231325834688,0.07648720374831076,0.1356142719523245,0.19474595854089216,0.3356324058337522,-0.08153124732940321,-0.6282764403023164,-0.5652672123045263,-0.6118023833060181,0.4583764235449438,0.7259175097312278,-0.6118023833060181,0.5078254674630668,0.5405686750085579,0.23222688877130407,0.4543784395155852
rms_contrast,-0.05302040309540804,1.0,0.9867545937022971,0.9152900177652944,0.8082123352137565,1.0,-0.03902299372236475,-0.03429979489161141,-0.03370044942113847,0.14914016852186665,-0.027737800745156,0.18859503605601693,0.12668325110270018,0.3906783101132575,-0.06400567468766878,-0.6520900990141479,-0.5840447987936063,-0.579359998111319,0.51489956020233,0.7587070340645099,-0.5793599981113188,0.5804805147978467,0.6155695328562464,0.28206944851220295,0.5287282890491338
mean_red,0.715353510988124,-0.03902299372236475,-0.004966935168053669,0.029508437880512616,0.09233839573052482,-0.03902299372236475,1.0,-0.04334690447777094,-0.03703831086374061,-0.5924953952882887,0.9356741127808303,-0.7219525048586284,-0.2799187982392866,-0.20706942644297563,0.30369155269868764,-0.07164238200681801,-0.09311948965530635,-0.02231743542473138,-0.12514227450681262,0.008829066058830114,-0.02231743542473158,-0.0955002634254499,-0.11602511614736051,-0.2065436385770112,-0.09447852814855336
mean_green,0.6667629205393775,-0.03429979489161141,-0.025829956140681908,-0.055636592555111455,0.018275266119964426,-0.03429979489161141,-0.04334690447777094,1.0,0.9825368127775794,0.2279328936935237,-0.3890095576581148,0.23800524055345612,0.5213390232096219,0.10982367139636098,-0.12552898701155513,0.09850534319598234,0.11492046317120479,0.05738964764382063,0.03340423672284737,-0.06485077406302563,0.05738964764382039,-0.017336017299787586,0.018417214406877738,0.13749215913041873,-0.04358741847907312
mean_blue,0.6632805819668061,-0.03370044942113847,-0.02629257755309426,-0.06363367256293266,0.018182493222148988,-0.03370044942113847,-0.03703831086374061,0.9825368127775794,1.0,0.19574319206416288,-0.38359457279414355,0.21104408082028137,0.49438606925882755,0.07750470902216673,-0.08979643925913533,0.11508412443721519,0.13121213345064867,0.06971140444948469,0.004737122043601377,-0.08403485964774787,0.06971140444948419,-0.0406911237592111,-0.009696867737191422,0.10816987298605438,-0.06602341485405737
colorfulness,-0.28537254591509065,0.14914016852186665,0.12836261020308745,0.09359394284048271,0.14429231325834688,0.14914016852186665,-0.5924953952882887,0.2279328936935237,0.19574319206416288,1.0,-0.6305459754473347,0.9668110650204093,0.8909932067568801,0.32760827925621766,-0.35795548934221977,0.05198927341594655,0.10634007425480285,8.193111930735019e-05,0.22062060091969102,0.07067130454904638,8.193111930689952e-05,0.14510525418347353,0.19132739493688203,0.33153418653177874,0.08151240987674666
