feature_a,feature_b,pearson_r,abs_r
std,rms_contrast,1.0,1.0
ASM,glcm_variance,0.9999999999999998,0.9999999999999998
std,variance,0.9867545937022972,0.9867545937022972
variance,rms_contrast,0.9867545937022971,0.9867545937022971
mean_green,mean_blue,0.9825368127775794,0.9825368127775794
edge_density,gradient,0.9772840978981158,0.9772840978981158
colorfulness,mean_saturation,0.9668110650204093,0.9668110650204093
contrast,laplacian_variance,0.9571828957275877,0.9571828957275877
dissimilarity,gradient,0.950121802115786,0.950121802115786
dissimilarity,edge_density,0.9498603652762919,0.9498603652762919
contrast,dissimilarity,0.9495266120869628,0.9495266120869628
homogeneity,glcm_entropy,-0.9372708914770761,0.9372708914770761
edge_density,keypoint_density,0.9365454505473249,0.9365454505473249
energy,glcm_variance,0.9362426918187802,0.9362426918187802
energy,ASM,0.9362426918187801,0.9362426918187801
mean_red,red_ratio,0.9356741127808303,0.9356741127808303
gradient,keypoint_density,0.9294053998466676,0.9294053998466676
entropy,rms_contrast,0.9152900177652944,0.9152900177652944
std,entropy,0.9152900177652942,0.9152900177652942
