image_name,gamma,out_h,out_w
UIEB_0.png,0.9428,338,600
UIEB_1.png,0.9621,338,600
UIEB_10.png,0.8254,338,600
UIEB_100.png,0.9146,450,600
UIEB_101.png,0.9552,450,600
UIEB_102.png,0.9246,399,600
UIEB_103.png,1.0181,338,600
UIEB_104.png,1.1609,450,600
UIEB_105.png,1.0122,450,600
UIEB_106.png,0.9998,400,600
UIEB_107.png,0.8835,453,600
UIEB_108.png,0.9177,450,600
UIEB_109.png,0.9132,450,600
UIEB_11.png,0.8751,338,600
UIEB_110.png,0.9539,400,600
UIEB_111.png,0.8073,450,600
UIEB_112.png,0.7831,862,600
UIEB_113.png,0.8325,450,600
UIEB_114.png,0.6895,393,600
UIEB_115.png,0.9107,450,600
UIEB_116.png,0.8474,386,600
UIEB_117.png,0.8805,450,600
UIEB_118.png,0.8839,450,600
UIEB_119.png,0.722,338,600
UIEB_12.png,0.7178,425,600
UIEB_120.png,0.7755,407,600
UIEB_121.png,0.907,450,600
UIEB_122.png,0.928,450,600
UIEB_123.png,0.8584,450,600
UIEB_124.png,0.8915,471,600
UIEB_125.png,0.8798,450,600
UIEB_126.png,0.8116,338,600
UIEB_127.png,0.9143,450,600
UIEB_128.png,0.8635,450,600
UIEB_129.png,1.0224,398,600
UIEB_13.png,0.7539,376,600
UIEB_130.png,0.8466,450,600
UIEB_131.png,0.8962,450,600
UIEB_132.png,0.7739,400,600
UIEB_133.png,0.8989,338,600
UIEB_134.png,0.9513,336,600
UIEB_135.png,0.8969,450,600
UIEB_136.png,1.149,449,600
UIEB_137.png,0.6921,880,600
UIEB_138.png,0.7344,426,600
UIEB_139.png,0.9773,450,600
UIEB_14.png,0.8716,338,600
UIEB_140.png,0.8508,450,600
UIEB_141.png,0.9138,450,600
UIEB_142.png,1.0134,398,600
UIEB_143.png,0.8952,450,600
UIEB_144.png,0.8936,450,600
UIEB_145.png,0.895,450,600
UIEB_146.png,0.9376,450,600
UIEB_147.png,0.9638,450,600
UIEB_148.png,0.9677,450,600
UIEB_149.png,0.9236,450,600
UIEB_15.png,0.8278,338,600
UIEB_150.png,0.9478,450,600
UIEB_151.png,0.9294,450,600
UIEB_152.png,0.9209,450,600
UIEB_153.png,0.8851,450,600
UIEB_154.png,0.7931,450,600
UIEB_155.png,0.7429,368,600
UIEB_156.png,0.9383,450,600
UIEB_157.png,0.9563,450,600
UIEB_158.png,0.7986,336,600
UIEB_159.png,0.9715,450,600
UIEB_16.png,0.7397,298,600
UIEB_160.png,1.0159,371,600
UIEB_161.png,0.8436,401,600
UIEB_162.png,0.5619,359,600
UIEB_163.png,1.0084,450,600
UIEB_164.png,0.8684,450,600
UIEB_165.png,1.0322,450,600
UIEB_166.png,0.9482,450,600
UIEB_167.png,0.9432,450,600
UIEB_168.png,0.9044,450,600
UIEB_169.png,0.9455,450,600
UIEB_17.png,1.063,435,600
UIEB_170.png,1.0177,450,600
UIEB_171.png,0.9895,450,600
UIEB_172.png,0.7214,382,600
UIEB_173.png,1.0352,450,600
UIEB_174.png,0.9341,450,600
UIEB_175.png,0.991,450,600
UIEB_176.png,0.7874,308,600
UIEB_177.png,0.9649,450,600
UIEB_178.png,0.7289,377,600
UIEB_179.png,0.8792,450,600
UIEB_18.png,0.8795,338,600
UIEB_180.png,1.0265,450,600
UIEB_181.png,1.029,450,600
UIEB_182.png,0.8956,450,600
UIEB_183.png,0.9475,450,600
UIEB_184.png,0.9048,450,600
UIEB_185.png,0.8012,338,600
UIEB_186.png,1.0352,450,600
UIEB_187.png,0.9254,450,600
UIEB_188.png,0.8502,450,600
UIEB_189.png,0.7792,600,600
UIEB_19.png,0.9405,338,600
UIEB_190.png,0.9671,400,600
UIEB_191.png,1.0663,450,600
UIEB_192.png,0.7353,450,600
UIEB_193.png,0.9129,450,600
UIEB_194.png,0.5917,338,600
UIEB_195.png,0.943,450,600
UIEB_196.png,0.8367,336,600
UIEB_197.png,0.914,450,600
UIEB_198.png,0.8749,450,600
UIEB_199.png,0.7251,338,600
UIEB_2.png,0.8089,338,600
UIEB_20.png,0.7572,400,600
UIEB_200.png,0.9684,450,600
UIEB_201.png,0.6102,417,600
UIEB_202.png,1.063,450,600
UIEB_203.png,0.8016,338,600
UIEB_204.png,0.8931,450,600
UIEB_205.png,0.8599,450,600
UIEB_206.png,1.0005,450,600
UIEB_207.png,0.8666,450,600
UIEB_208.png,0.9267,336,600
UIEB_209.png,0.8485,450,600
UIEB_21.png,0.9221,338,600
UIEB_210.png,0.9585,450,600
UIEB_211.png,0.7997,338,600
UIEB_212.png,0.8345,450,600
UIEB_213.png,0.5,338,600
UIEB_214.png,0.7704,279,600
UIEB_215.png,0.6053,377,600
UIEB_216.png,0.9747,450,600
UIEB_217.png,1.0431,450,600
UIEB_218.png,1.0007,450,600
UIEB_219.png,1.017,349,600
UIEB_22.png,0.7279,374,600
UIEB_220.png,0.9651,396,600
UIEB_221.png,0.7065,450,600
UIEB_222.png,0.7718,403,600
UIEB_223.png,0.8181,338,600
UIEB_224.png,0.8517,449,600
UIEB_225.png,0.96,450,600
UIEB_226.png,0.7055,315,600
UIEB_227.png,1.0502,449,600
UIEB_228.png,0.8296,449,600
UIEB_229.png,0.5,369,600
UIEB_23.png,0.8956,415,600
UIEB_230.png,0.857,336,600
UIEB_231.png,0.7855,450,600
UIEB_232.png,0.8097,338,600
UIEB_233.png,0.8468,399,600
UIEB_234.png,0.7668,530,600
UIEB_235.png,0.9479,366,600
UIEB_236.png,0.782,375,600
UIEB_237.png,0.693,338,600
UIEB_238.png,0.7455,398,600
UIEB_239.png,0.8766,338,600
UIEB_24.png,0.8962,450,600
UIEB_240.png,0.7225,309,600
UIEB_241.png,0.6924,336,600
UIEB_242.png,0.8953,399,600
UIEB_243.png,0.8799,449,600
UIEB_244.png,0.7018,399,600
UIEB_245.png,0.6818,336,600
UIEB_246.png,0.8889,336,600
UIEB_247.png,0.8967,398,600
UIEB_248.png,0.8341,338,600
UIEB_249.png,0.9867,399,600
UIEB_25.png,0.9126,450,600
UIEB_250.png,0.8521,300,600
UIEB_251.png,0.8244,336,600
UIEB_252.png,0.7978,368,600
UIEB_253.png,0.7771,429,600
UIEB_254.png,0.8506,399,600
UIEB_255.png,0.7318,401,600
UIEB_256.png,0.7386,399,600
UIEB_257.png,0.7268,338,600
UIEB_258.png,0.722,449,600
UIEB_259.png,0.6426,338,600
UIEB_26.png,0.7999,374,600
UIEB_260.png,0.8121,399,600
UIEB_261.png,0.8761,337,600
UIEB_262.png,0.7266,520,600
UIEB_263.png,0.7182,336,600
UIEB_264.png,0.885,300,600
UIEB_265.png,0.789,430,600
UIEB_266.png,0.7672,399,600
UIEB_267.png,0.8817,450,600
UIEB_268.png,0.7765,375,600
UIEB_269.png,0.6348,336,600
UIEB_27.png,0.9323,450,600
UIEB_270.png,0.5582,399,600
UIEB_271.png,0.6775,338,600
UIEB_272.png,0.9243,399,600
UIEB_273.png,0.9373,336,600
UIEB_274.png,0.6378,398,600
UIEB_275.png,0.6009,416,600
UIEB_276.png,0.7713,336,600
UIEB_277.png,0.7155,399,600
