rank,feature,importance_ssim,importance_psnr,importance_combined
1,edge_density,1.0,1.0,1.0
2,dissimilarity,0.5604234816751307,0.015264414893211621,0.28784394828417115
3,rms_contrast,0.26110748130228006,0.09380403178705324,0.17745575654466667
4,mean_blue,0.06151318031732179,0.17892141643538953,0.12021729837635566
5,entropy,0.13940022576428274,0.07130675783140492,0.10535349179784383
6,contrast,0.1432388882467287,0.026900650005270404,0.08506976912599955
7,mean_saturation,0.11950592312888683,0.024976396291847027,0.07224115971036693
8,mean_value,0.07107379772186115,0.04779168559217769,0.05943274165701942
9,homogeneity,0.053494919176451564,0.0460885102901993,0.04979171473332543
10,mean_red,0.06167662904393816,0.024744301462806366,0.043210465253372264
11,glcm_variance,0.02805902551530015,0.045837875977768026,0.03694845074653409
12,gradient,0.036518283234588174,0.03608641885482813,0.03630235104470815
13,energy,0.034167125493096806,0.03382166477214726,0.033994395132622035
14,dynamic_range,0.05096417350471104,0.016860759650113515,0.03391246657741227
15,colorfulness,0.03202932675658356,0.03403036222013413,0.03302984448835884
16,ASM,0.03050971031275862,0.02723471295681641,0.028872211634787516
17,correlation,0.05666803106970037,0.0,0.028334015534850186
18,variance,0.026437082416399985,0.02939419361395766,0.027915638015178823
19,laplacian_variance,0.01273944732236856,0.03945755289247027,0.026098500107419417
20,red_ratio,0.032517475747277196,0.01817472631534834,0.025346101031312768
21,glcm_entropy,0.0,0.045657470133325266,0.022828735066662633
22,std,0.021418006242841143,0.02309957811897166,0.0222587921809064
23,mean,0.026306975102702433,0.011188504023715866,0.01874773956320915
24,keypoint_density,0.010857493936818776,0.022783224782458363,0.01682035935963857
25,mean_green,0.015677194368584155,0.008842889396590854,0.012260041882587504
