rank,feature,importance_mean,importance_std
1,red_ratio,2.441546581054152,0.43275073860128027
2,entropy,0.39973561711797423,0.10150238095208429
3,dynamic_range,0.18807060395681888,0.11186004606847345
4,correlation,0.13212567792806204,0.0807930522568464
5,homogeneity,0.07364974970769467,0.05517114567409993
6,mean_blue,0.06941439139401488,0.024992137202761857
7,mean_value,0.06879112841126886,0.033455874011732965
8,mean_saturation,0.06834250554067615,0.031460406665531786
9,std,0.05292490818608773,0.044157748463759756
10,rms_contrast,0.04454176608892837,0.037539835919476634
11,glcm_entropy,0.039428882787350086,0.03692742891063673
12,mean,0.03890990598540363,0.024848359469452557
13,contrast,0.027899925534985926,0.033330203512224175
14,mean_green,0.02252985332701627,0.07205382924679854
15,keypoint_density,0.021699124806305824,0.01733654423633602
16,gradient,0.016914001423345936,0.013635921860451735
17,edge_density,0.01633684136084561,0.009085347023017451
18,colorfulness,0.01224683801243991,0.03953663697739317
19,variance,0.011460148743105058,0.027767050606219257
20,glcm_variance,0.0,0.0
21,dissimilarity,-0.003267496676963155,0.014058490088693705
22,mean_red,-0.0072371949398428725,0.05156424277915557
23,ASM,-0.01737293549860013,0.02603735027530305
24,energy,-0.023205874950072314,0.033353379880236664
25,laplacian_variance,-0.04519586334369041,0.03772087267916362
