rank,feature,importance_mean,importance_std
1,red_ratio,0.0020855368735903483,0.0004299389898689443
2,mean_red,0.0011379713985043025,0.00021420079377804782
3,dynamic_range,0.0004927560690436321,0.0001441995287999991
4,keypoint_density,0.00023867468680322784,7.603315937747156e-05
5,correlation,0.00023039994079828793,0.00010780329155377002
6,gradient,0.00018751513339307878,6.077364390208177e-05
7,homogeneity,8.311326475909879e-05,7.605793447420096e-05
8,edge_density,6.285642156671801e-05,2.875602650527798e-05
9,entropy,6.250408616245428e-05,0.0001436165652529942
10,laplacian_variance,5.2059724470476974e-05,3.650041968539776e-05
11,mean_blue,4.5219661015574554e-05,3.146600770928324e-05
12,dissimilarity,3.976430313180294e-05,3.206944097386862e-05
13,rms_contrast,8.624271064089188e-06,5.234092668953004e-05
14,mean,3.5560387781423746e-06,2.7462619078910818e-05
15,glcm_variance,8.673617379884035e-19,7.757919228897728e-19
16,glcm_entropy,-1.0522698802053338e-06,2.828863001602055e-05
17,mean_green,-4.328004632890917e-06,2.8581586581441656e-05
18,mean_value,-9.610780685713818e-06,6.518869066905359e-05
19,contrast,-1.310709411239154e-05,3.0347581659692728e-05
20,ASM,-1.3387557679887634e-05,2.349531432159743e-05
21,colorfulness,-2.3926378356726487e-05,2.075293497085162e-05
22,energy,-3.630145960933761e-05,1.7935358669110488e-05
23,std,-4.263416292601494e-05,3.803779540980114e-05
24,variance,-4.66909630041085e-05,3.408648229049254e-05
25,mean_saturation,-7.009573093778153e-05,3.385961814091949e-05
